species,category,growth_type,height_m,SLA_mm2_mg.1,seed_dry_mass_mg,upper_slope,lower_slope,ridge_summit,valley_flatland,NA
Pseudostellaria heterophylla,native,herbaceous,0.3881377394148709,0.9353404885832418,-0.7308315534326755,1,1,1,1,1
Osmunda japonica,native,herbaceous,0.02521766614304008,-0.281158209783213,0.5808307386089215,1,1,1,1,0
Artemisia princeps,Aster_native,herbaceous,1.0415077010308444,-1.9714542443570506,-2.0028335966152695,1,1,1,1,1
Carex bostrychostigma,native,herbaceous,-1.1852938811937117,-0.27235431647135844,-0.22631648742590926,1,0,0,1,0
Rubia akane,native,herbaceous,1.4934523219572584,-0.029065380945990083,-0.4384005367919639,1,1,1,1,0
Erigeron annuus,Aster_exotic,herbaceous,0.7123466069243143,-0.02523735771859107,-2.370011035162346,1,1,1,1,0
Viola mandshurica,native,herbaceous,-1.6977498858300197,0.8174972194288891,-0.3231458362685855,1,1,1,1,1
Capsella bursa-pastoris,native,herbaceous,-0.934665764611304,0.40692958189870027,-1.6360966101468604,1,1,1,1,0
Lamium amplexicaule,native,herbaceous,-1.215681832917217,-0.6356855152932618,-0.5624065975585426,1,1,0,1,0
Humulus japonicus,native,herbaceous,1.0354525420497196,-0.41711390704916124,1.7313464486596768,1,1,1,1,1
Potentilla fragarioides,native,herbaceous,-3.2977462840804828,-1.232391748928179,-1.279339951396715,1,1,1,1,0
Ixeridium dentatum,Aster_native,herbaceous,0.9224251940043213,0.07548148536235448,-1.8092989045518935,1,1,1,1,0
Athyrium niponicum,native,herbaceous,0.8241955965605126,-0.048874927665027205,0.050536889884258356,1,1,1,1,0
Athyrium yokoscense,native,herbaceous,0.8241955965605126,-0.048874927665027205,0.050536889884258356,1,1,1,1,1
Artemisia japonica,Aster_native,herbaceous,1.8435951564959772,-1.0978412217438833,-2.108644401564509,1,1,1,1,0
Oplismenus undulatifolius,native,herbaceous,-0.4579415716558357,0.10713778117518724,0.19493043216288358,1,1,1,1,1
Viola verecunda,native,herbaceous,-1.157074892622208,1.2568710540895216,-0.8625047822889422,1,1,1,1,0
Cardamine flexuosa,native,herbaceous,-0.6331236955915093,1.5242791516651946,-1.4521985513010764,1,1,1,1,0
Viola seoulensis,native,herbaceous,-1.157074892622208,1.2568710540895216,-0.8625047822889422,1,0,0,0,0
Stellaria aquatica,native,herbaceous,0.12300794207273738,2.1819576996606393,-1.3185682460636992,1,1,1,1,0
Dryopteris chinensis,native,herbaceous,0.35155624198463553,-0.01293815160738312,0.025077344533973398,1,1,1,1,1
Polygonum senticosum,native,herbaceous,0.6419598899661227,0.9881508851744872,0.8353063293033954,1,1,1,1,0
Commelina communis,native,herbaceous,0.45680911368048305,-0.20873529408357133,1.2234163724276184,1,1,1,1,1
Polygonum hydropiper,native,herbaceous,0.6459722031822899,1.3861104608124513,0.29499468334133894,1,1,1,1,1
Metaplexis japonica,native,herbaceous,2.27651848051167,-0.14020305541575392,-0.6332149512909748,1,1,1,1,0
Equisetum arvense,native,herbaceous,-0.7843387122117373,-1.8980830710771088,0.25985217009716743,1,1,1,1,0
Erigeron philadelphicus,Aster_exotic,herbaceous,0.9949325855893388,0.2803127144104557,-2.1536236428178586,1,0,1,0,0
Lactuca scariola,Aster_exotic,herbaceous,1.155838333910912,-1.0970796881505556,-0.583850023368153,1,1,1,0,0
Conyza canadensis,Aster_exotic,herbaceous,0.26224099587166044,-0.6482727403315286,-2.120405696603834,1,1,1,1,0
Aster subulatus,Aster_exotic,herbaceous,0.9547829856083144,-3.0850729340125165,-1.5018000931420195,1,1,1,0,0
Dioscorea japonica,native,herbaceous,-0.33619929943649374,1.1136560620224114,1.3016214149352168,1,1,1,1,0
Xanthium strumarium,Aster_exotic,herbaceous,0.7119535372520187,-1.442655039213389,2.765507848912736,1,1,1,1,0
Achyranthes japonica,native,herbaceous,0.12705063894306484,0.310424380043969,0.30851710694538764,1,1,1,1,0
Solanum lyratum,native,herbaceous,1.2921390849442203,-0.05484513680458454,-0.21995882038198278,1,1,1,1,0
Leonurus japonicus,native,herbaceous,1.233424001656321,-0.8857285638818803,-0.22409948982640449,1,1,0,1,0
Lespedeza cuneata,native,herbaceous,0.4150701579431078,-0.7471014118820689,0.16894983845640102,1,1,1,1,0
Artemisia keiskeana,Aster_native,herbaceous,1.54250486366345,-0.976115210155535,-2.1382011998852515,1,1,1,1,0
Arabis glabra,native,herbaceous,0.6585756264933694,0.12415121718948723,-1.9242670459270328,1,1,1,0,0
