species,category,growth_type,height_m,SLA_mm2_mg.1,seed_dry_mass_mg,upper_slope,lower_slope,ridge_summit,valley_flatland,NA
Pseudostellaria heterophylla,native,herbaceous,0.5702379473851124,35.03633330415107,0.44657793286823194,1,1,1,1,1
Osmunda japonica,native,herbaceous,0.448043149851076,25.006805686407105,3.018489208985521,1,1,1,1,0
Artemisia princeps,Aster_native,herbaceous,0.880266666666667,15.651462773981494,0.07000000000000002,1,1,1,1,1
Carex bostrychostigma,native,herbaceous,0.2004353944227171,25.067912187207074,0.9313337471679527,1,0,0,1,0
Rubia akane,native,herbaceous,1.1886182950030708,26.81692330102971,0.6837843772529991,1,1,1,1,0
Erigeron annuus,Aster_exotic,herbaceous,0.707327586206897,26.845396634615298,0.040999999999999995,1,1,1,1,0
Viola mandshurica,native,herbaceous,0.14258803561256034,33.91024301385061,0.8088,1,1,1,1,1
Capsella bursa-pastoris,native,herbaceous,0.236757633587786,30.262206339193607,0.11943553191489402,1,1,1,1,0
Lamium amplexicaule,native,herbaceous,0.196428571428571,22.666,0.570768761111111,1,1,0,1,0
Humulus japonicus,native,herbaceous,0.8767318395716255,24.081848815466252,16.133333333333297,1,1,1,1,1
Potentilla fragarioides,native,herbaceous,0.049241919230769184,19.210311345784262,0.20084197115363106,1,1,1,1,0
Ixeridium dentatum,Aster_native,herbaceous,0.8132945317782075,27.605516408049645,0.09280000000000001,1,1,1,1,0
Athyrium niponicum,native,herbaceous,0.7619026013317028,26.67005911854854,1.3940271732369396,1,1,1,1,0
Athyrium yokoscense,native,herbaceous,0.7619026013317028,26.67005911854854,1.3940271732369396,1,1,1,1,1
Artemisia japonica,Aster_native,herbaceous,1.5,19.940388799418034,0.06,1,1,1,1,0
Oplismenus undulatifolius,native,herbaceous,0.325,27.848841748575037,1.7204,1,1,1,1,1
Viola verecunda,native,herbaceous,0.20422938231341997,38.30269566770396,0.3686270851542604,1,1,1,1,0
Cardamine flexuosa,native,herbaceous,0.289285714285714,41.25000000000001,0.15613,1,1,1,1,0
Viola seoulensis,native,herbaceous,0.20422938231341997,38.30269566770396,0.3686270851542604,1,0,0,0,0
Stellaria aquatica,native,herbaceous,0.47812499999999997,49.49999999999999,0.18968571428571404,1,1,1,1,0
Dryopteris chinensis,native,herbaceous,0.5565432791699102,26.937084495541214,1.3432687595218122,1,1,1,1,1
Polygonum senticosum,native,herbaceous,0.6750057413350224,35.55304150692574,4.373176838661935,1,1,1,1,0
Commelina communis,native,herbaceous,0.5968623820698309,25.5139429739718,7.697600000000001,1,1,1,1,1
Polygonum hydropiper,native,herbaceous,0.67680785923871,39.69987373737371,1.9904,1,1,1,1,1
Metaplexis japonica,native,herbaceous,2,26.003303400644363,0.514824911966223,1,1,1,1,0
Equisetum arvense,native,herbaceous,0.26162989010989,15.973072363944796,1.8910612583731279,1,1,1,1,0
Erigeron philadelphicus,Aster_exotic,herbaceous,0.85344,29.218407596786,0.05619436392914649,1,0,1,0,0
Lactuca scariola,Aster_exotic,herbaceous,0.94975,19.9445989039148,0.553213641463415,1,1,1,0,0
Conyza canadensis,Aster_exotic,herbaceous,0.524473039215686,22.5870464384101,0.058980689655172405,1,1,1,1,0
Aster subulatus,Aster_exotic,herbaceous,0.830971428571429,11.494252873563202,0.145245714285714,1,1,1,0,0
Dioscorea japonica,native,herbaceous,0.35238495292943034,36.811792280065774,8.62652502986563,1,1,1,1,0
Xanthium strumarium,Aster_exotic,herbaceous,0.707142857142857,18.122568203643304,72.78483333333331,1,1,1,1,0
Achyranthes japonica,native,herbaceous,0.47941116866071903,29.46333059961608,2.03,1,1,1,1,0
Solanum lyratum,native,herbaceous,1.0397879377608559,26.625955063127545,0.94,1,1,1,1,0
Leonurus japonicus,native,herbaceous,1,21.148079650537294,0.934346666666667,1,1,0,1,0
Lespedeza cuneata,native,herbaceous,0.580535294117647,21.976623159407698,1.6565,1,1,1,1,0
Artemisia keiskeana,Aster_native,herbaceous,1.2280007769366594,20.624756601933967,0.057471241927992786,1,1,1,1,0
Arabis glabra,native,herbaceous,0.6825,27.980499999999996,0.07848873225527842,1,1,1,0,0
Athyrium vidalii,native,herbaceous,0.7619026013317028,26.67005911854854,1.3940271732369396,1,1,1,1,0
Dioscorea opposita,native,herbaceous,0.3087070017329866,36.21984113,4.83,1,1,1,1,0
Setaria viridis,native,herbaceous,0.49064705882352894,29.744660028789095,1.12398,1,1,1,1,1
Crepidiastrum denticulatum,Aster_native,herbaceous,1,33.125220860000006,0.1932,1,1,1,1,0
Taraxacum platycarpum,Aster_native,herbaceous,0.852194534063195,27.476472154465934,0.13488238285355564,1,1,1,1,0
Ambrosia trifida,Aster_exotic,herbaceous,1.097,24.4992857142857,10.866362500000001,1,1,0,1,0
Bidens frondosa,Aster_exotic,herbaceous,0.645694736842105,31.5274362494835,2.91878108943503,1,1,0,1,0
Eupatorium lindleyanum,Aster_native,herbaceous,1.1156548378976878,12.417408135474943,0.057567936908156495,1,0,0,1,0
Polygonum thunbergii,native,herbaceous,0.6,41.84100418410039,7.2292,1,1,1,1,0
Kyllinga brevifolia,native,herbaceous,0.31664132753236196,26.425088298529776,0.37471256006113823,1,0,0,0,0
Paspalum thunbergii,native,herbaceous,0.45931048595156976,27.8916963546113,1.3719726318763679,1,1,0,0,0
Thelypteris palustris,native,herbaceous,0.655384615384615,30.199999999999992,1.2485304875414136,1,1,1,1,1
Asparagus schoberioides,native,herbaceous,0.3359181740651517,23.63814521873317,27.377469713908546,1,1,1,1,0
Polygonum aviculare,native,herbaceous,0.438972602739726,22.5531145793896,1.64361750689655,1,0,0,0,0
Justicia procumbens,native,herbaceous,0.37348060247083437,22.826362930270985,0.3288819487143279,1,1,1,0,0
Plantago asiatica,native,herbaceous,0.053494445000000015,26.9519027019393,0.605,1,1,1,1,0
Erechtites hieraciifolius,Aster_exotic,herbaceous,0.575474681490972,29.845876804157527,0.332,1,1,1,0,0
Duchesnea chrysantha,native,herbaceous,0.26090699673260653,36.06555633856985,4.8471906350653065,1,1,1,1,0
Echinochloa crus-galli,native,herbaceous,0.6702,31.295235738696597,1.83839761904762,1,1,1,1,0
Hydrocotyle sibthorpioides,native,herbaceous,0.37611202250817577,38.90420506616995,0.286,1,1,1,0,0
Eragrostis ferruginea,native,herbaceous,0.6064135863434614,20.470834946818837,0.34,1,1,1,1,0
Cyperus microiria,native,herbaceous,0.19823188325176655,27.709737665902942,0.17999999999999997,1,0,0,1,0
Eleusine indica,native,herbaceous,0.270654761904762,20.3072025235632,0.402869264285714,0,1,0,1,0
Sigesbeckia pubescens,Aster_native,herbaceous,2.122914757094416,11.3320383165326,0.7050700812884817,1,0,0,1,0
Setaria glauca,native,herbaceous,0.4741502485484114,27.920366090588892,1.2984712710096602,1,0,0,0,0
Glycine soja,native,herbaceous,0.22958,32.87272393516359,172.44612833610503,1,1,1,1,0
Polygonum lapathifolium,native,herbaceous,0.6443430020520586,36.599466401242815,4.040740610066039,1,1,0,1,0
Smilax nipponica,native,herbaceous,0.3031769418360545,33.02330372010972,27.4,1,1,1,1,1
Eupatorium japonicum,Aster_native,herbaceous,1.1156548378976878,12.417408135474943,0.057567936908156495,1,1,1,1,0
Sedum sarmentosum,native,herbaceous,0.2188775865305466,35.91291533643587,0.34015044068774947,1,1,0,1,0
Deparia pterorachis,native,herbaceous,0.7739157170113009,26.617177550918683,1.4017982137973735,1,1,0,1,0
Agrimonia pilosa,native,herbaceous,0.6,36.36528187500001,15.388599999999997,1,1,1,1,1
Bidens tripartita,Aster_native,herbaceous,0.716292307692308,35.76571428571431,2.27773575027871,1,1,0,1,0
Dictamnus dasycarpus,native,herbaceous,0.70625,23.464999999999996,15.266192007692302,1,1,1,1,1
Atractylodes ovata,Aster_native,herbaceous,1.0244014781805926,21.786649552450992,2.4902952305783344,1,1,1,1,0
Spodiopogon sibiricus,native,herbaceous,0.5770923975658921,18.776884755666252,1.19,1,1,1,1,0
Sanguisorba officinalis,native,herbaceous,0.459534013650794,21.525297559742103,2.26431699347059,1,1,1,1,0
Isodon japonicus,native,herbaceous,1.035013926017913,20.601388170101714,0.4118594961394324,1,1,1,1,0
Lespedeza pilosa,native,herbaceous,0.4761494153727962,18.171005134832576,2.204050815597937,1,1,0,0,0
Carex siderosticta,native,herbaceous,0.1816816823372472,39.1306581006823,0.5845335674320318,1,1,1,1,1
Smilax riparia,native,herbaceous,0.3031769418360545,33.02330372010972,40.95000000000001,1,1,1,1,0
Erigeron strigosus,Aster_exotic,herbaceous,0.551692635658915,19.155462219772495,0.0301666666666667,1,0,0,0,0
Pyrola japonica,native,herbaceous,0.15,29.800042764690456,0.004662200000000001,1,1,1,1,1
Chimaphila japonica,native,herbaceous,0.2426507607020521,29.704706056985057,0.052741657816628165,1,1,1,0,0
Carex lanceolata,native,herbaceous,0.2350528319037699,15.458724569640102,1.54,1,1,1,1,1
Isodon excisus,native,herbaceous,1.5,19.94057973418977,0.5168907028795272,1,1,1,1,0
Sophora flavescens,native,herbaceous,5.000000000000001,16.41191648,35.03999999999999,1,1,1,1,0
Cephalanthera longibracteata,native,herbaceous,0.37497876980863715,25.362556689054404,6.41582896230077,1,1,1,1,1
Sedum kamtschaticum,native,herbaceous,0.20000000000000004,37.66586985064038,0.2736668579020303,1,1,1,1,0
Miscanthus sinensis,native,herbaceous,1.524,15.990323550988826,0.700543639291465,1,1,1,1,0
Saussurea grandifolia,Aster_native,herbaceous,0.9226077289862195,22.05168192391413,2.5600914798749037,1,1,1,1,0
Lysimachia barystachys,native,herbaceous,0.31358825284897784,30.87955399526176,0.17473282255143915,1,1,1,1,0
Hypericum ascyron,native,herbaceous,0.22455523952471274,37.45138350789834,0.1322138363760763,1,1,1,1,0
Adenophora grandiflora,native,herbaceous,0.20847412792855685,33.134727617969304,0.46712638167317183,1,1,0,0,0
Clintonia udensis,native,herbaceous,0.3014193689834412,33.132981720435176,13.534794254988343,1,0,0,0,0
Ranunculus japonicus,native,herbaceous,0.19969056034467508,32.4635172054699,2.6935848963965188,1,0,0,1,0
Calamagrostis arundinacea,native,herbaceous,0.744444444444444,16.593305723906404,0.425933333333333,1,1,1,1,0
Platycodon grandiflorus,native,herbaceous,0.05415384615384619,19.82067103,0.918451666666667,1,1,1,1,0
Arundinella hirta,native,herbaceous,0.5249422943432707,24.79713871159176,1.3561986299834197,1,1,1,1,1
Geranium sibiricum,native,herbaceous,0.35,29.455372266622113,2.93274,1,1,0,1,0
Patrinia villosa,native,herbaceous,0.2712489677150636,35.2104828856051,0.8642436418490724,1,1,1,1,0
Aster scaber,Aster_native,herbaceous,1.166373505448512,31.673498145000007,0.19274658513520482,1,1,1,1,1
Silene firma,native,herbaceous,0.8,33.92595460967228,0.2512,1,1,1,1,0
Viola orientalis,native,herbaceous,0.1293009063123999,33.644838276589034,1.5382422840056675,1,1,1,1,0
Melica onoei,native,herbaceous,0.5197399831534264,16.472216557350208,1.1164069024428156,1,1,1,1,0
Saussurea gracilis,Aster_native,herbaceous,0.9226077289862195,22.05168192391413,2.5600914798749037,1,1,1,1,0
Disporum smilacinum,native,herbaceous,0.3047884538895177,32.965503362804284,19.77428772608685,1,1,1,1,1
Spodiopogon cotulifer,native,herbaceous,0.5770923975658921,18.776884755666252,1.1852185063983989,1,1,1,1,0
Peucedanum terebinthaceum,native,herbaceous,0.46577375083427164,36.50793861,2.899938289046926,1,1,1,1,0
Vicia amoena,native,herbaceous,0.3217947657271514,34.61623432206656,24.284146743983175,1,1,1,1,0
Asarum sieboldii,native,herbaceous,0.28422251703847823,38.82063177537908,2.744123615514374,1,1,1,1,0
Isodon inflexus,native,herbaceous,1.5,20.722193042533075,0.8,1,1,1,1,1
Pseudostellaria monantha,native,herbaceous,0.5702379473851124,35.03633330415107,0.44657793286823194,1,0,0,0,0
Lysimachia clethroides,native,herbaceous,0.4,30.624535209335765,0.30996,1,1,1,1,1
Viola selkirkii,native,herbaceous,0.1,34.638120085112014,0.61,1,1,1,1,0
Thalictrum filamentosum,native,herbaceous,0.36127241406350896,28.72500487513106,2.2730002139876304,1,1,1,1,0
Cymbidium goeringii,native,herbaceous,0.35102503369544535,25.247048530518285,6.87684020047729,1,1,1,1,0
Dioscorea quinqueloba,native,herbaceous,0.35238495292943034,36.811792280065774,8.62652502986563,1,1,1,1,0
Ainsliaea acerifolia,Aster_native,herbaceous,0.8106758948640782,21.898897445792205,1.7282929992553717,1,1,1,1,1
Artemisia stolonifera,Aster_native,herbaceous,0.9598792777587276,15.684975726056733,0.07235664989071318,1,1,1,1,0
Lactuca raddeana,Aster_native,herbaceous,1.2045407290830854,22.413664518833098,0.7055615126516803,1,1,1,1,0
Syneilesis palmata,Aster_native,herbaceous,0.6561639316393817,30.817177054266942,1.0890477597601733,1,1,1,1,0
Galium trifloriforme,native,herbaceous,0.6849038389372982,28.183878592879882,0.4332920824319844,1,1,0,1,0
Pseudostellaria palibiniana,native,herbaceous,0.5702379473851124,35.03633330415107,0.44657793286823194,1,1,1,1,0
Convallaria keiskei,native,herbaceous,0.28536681754101273,23.835529549107672,28.06902052429275,1,1,1,1,1
Cyrtomium fortunei,native,herbaceous,0.5712930988308275,27.582956674129267,1.2849084450706716,1,1,1,1,1
Ligularia fischeri,Aster_native,herbaceous,0.6975954538085642,31.110640961909734,4.590800000000001,1,1,1,1,0
Cayratia japonica,native,herbaceous,0.3637100564660909,32.81002754637129,16.390000000000004,1,1,1,1,1
Fallopia japonica,native,herbaceous,0.936289628713435,31.918919237027122,1.60615012848979,0,1,0,0,0
Viola acuminata,native,herbaceous,0.20350384153660994,45.209874754999994,0.3679393798437948,1,1,1,1,1
Vicia unijuga,native,herbaceous,0.261596124334975,41.719792819999995,8.87,1,1,1,1,0
Polystichum tripteron,native,herbaceous,0.5712930988308275,27.582956674129267,1.2849084450706716,1,1,1,1,1
Impatiens textori,native,herbaceous,0.36549495791359804,30.629064177990116,5.03,1,1,1,1,0
Polygonum filiforme,native,herbaceous,0.6153229701381832,35.32120525325633,2.08,1,1,1,1,0
Viola collina,native,herbaceous,0.08622222222222221,33.78012726555749,2.7752,1,1,1,1,1
Boehmeria platanifolia,native,herbaceous,0.24393980767289392,37.03228742632289,4.958754009657949,1,1,1,1,0
Lilium tsingtauense,native,herbaceous,0.3014193689834412,32.857966273805616,18.133940821552894,1,1,1,1,0
Desmodium oldhamii,native,herbaceous,0.26128500507354274,35.36265592808747,3.5466921235125035,0,1,0,1,0
Boehmeria tricuspis,native,herbaceous,0.24393980767289392,37.03228742632289,4.958754009657949,1,1,1,1,1
Polygonum sagittatum,native,herbaceous,0.752047058823529,37.01146722103899,3.17026280193237,1,1,1,1,0
Hypericum erectum,native,herbaceous,0.21645038034752237,36.487766558763184,0.056399999999999985,1,1,1,1,0
