species,seed_dry_mass_mg,SLA_mm2_mg.1,height_m
Hololeion_maximowiczii,NA,NA,NA
Crepidiastrixeris_denticulatoplatyphylla,NA,NA,NA
Eupatorium_tripartitum,NA,NA,NA
Eupatorium_japonicum,NA,NA,NA
Eupatorium_lindleyanum,NA,NA,NA
Eupatorium_rugosum,0.0348,9.28087485552745,1.046
Ageratina_altissima,NA,NA,NA
Tagetes_minuta,NA,NA,NA
Sigesbeckia_glabrescens,1.41036,NA,NA
Sigesbeckia_pubescens,NA,NA,NA
Galinsoga_parviflora,NA,NA,NA
Galinsoga_quadriradiata,NA,NA,NA
Ambrosia_artemisiifolia,37.4986206896552,16.8691128156632,0.472766909978102
Ambrosia_trifida,10.8663625,24.4992857142857,1.097
Xanthium_strumarium,72.7848333333333,18.1225682036433,0.707142857142857
Xanthium_canadense,NA,NA,NA
Bidens_pilosa,NA,NA,NA
Bidens_bipinnata,2.76,55.5555555555556,0.65
Bidens_parviflora,NA,NA,NA
Bidens_tripartita,2.27773575027871,35.7657142857143,0.716292307692308
Bidens_frondosa,2.91878108943503,31.5274362494835,0.645694736842105
Coreopsis_alternifolia,NA,NA,NA
Centipeda_minima,NA,NA,NA
Anaphalis_sinica,NA,NA,NA
Pseudognaphalium_affine,NA,NA,NA
Euchiton_japonicus,0.0230933333333333,NA,NA
Leontopodium_leontopodioides,NA,NA,NA
Carpesium_cernuum,0.726666666666667,NA,0.5
Carpesium_triste,NA,NA,NA
Carpesium_macrocephalum,NA,NA,NA
Carpesium_divaricatum,NA,NA,NA
Carpesium_abrotanoides,NA,NA,0.5
Erigeron_strigosus,0.0301666666666667,19.1554622197725,0.551692635658915
Erigeron_annuus,0.041,26.8453966346153,0.707327586206897
Erigeron_philadelphicus,0.0561943639291465,29.218407596786,0.85344
Conyza_canadensis,0.0589806896551724,22.5870464384101,0.524473039215686
Conyza_bonariensis,0.096665,12.7,0.4451
Conyza_sumatrensis,NA,NA,0.743125
Aster_meyendorffii,NA,NA,NA
Aster_yomena,NA,NA,NA
Aster_pilosus,NA,NA,NA
Aster_scaber,NA,31.673498145,NA
Aster_subulatus,0.145245714285714,11.4942528735632,0.830971428571429
Aster_koraiensis,6.218,3.2417,30
Aster_pseudoglehnii,NA,NA,NA
Aster_ageratoides,NA,NA,NA
Aster_spathulifolius,NA,NA,NA
Aster_tataricus,NA,NA,NA
Rhynchospermum_verticillatum,NA,NA,NA
Artemisia_japonica,0.06,NA,1.5
Artemisia_keiskeana,NA,NA,NA
Artemisia_capillaris,NA,19.937193275,NA
Artemisia_annua,0.03416,31.852,0.95
Artemisia_lancea,NA,NA,NA
Artemisia_selengensis,NA,NA,NA
Artemisia_codonocephala,NA,NA,NA
Artemisia_feddei,NA,NA,NA
Artemisia_princeps,0.07,NA,0.880266666666667
Artemisia_indica,NA,NA,NA
Artemisia_sylvatica,NA,NA,NA
Artemisia_montana,NA,NA,NA
Artemisia_stolonifera,NA,NA,NA
Chrysanthemum_zawadzkii,NA,NA,NA
Chrysanthemum_indicum,0.36,NA,NA
Chrysanthemum_oreastrum,NA,NA,NA
Achillea_alpina,NA,NA,NA
Senecio_vulgaris,NA,NA,NA
Erechtites_hieraciifolius,0.332,NA,NA
Crassocephalum_crepidioides,NA,NA,NA
Syneilesis_palmata,NA,NA,NA
Farfugium_japonicum,NA,NA,NA
Parasenecio_koraiensis,NA,NA,NA
Parasenecio_auriculatus,NA,NA,NA
Parasenecio_firmus,NA,NA,NA
Parasenecio_adenostyloides,NA,NA,NA
Ligularia_jamesii,NA,NA,NA
Ligularia_jaluensis,NA,NA,NA
Ligularia_fischeri,4.5908,NA,NA
Petasites_japonicus,0.05,28.7023535805359,0.6
Youngia_japonica,0.0764,NA,NA
Crepidiastrum_chelidoniifolium,NA,NA,NA
Crepidiastrum_sonchifolium,NA,NA,NA
Crepidiastrum_denticulatum,0.1932,33.12522086,1
Ixeridium_dentatum,0.0928,NA,NA
Ixeris_polycephala,0.2232,NA,NA
Taraxacum_platycarpum,NA,NA,NA
Taraxacum_officinale,NA,NA,NA
Hypochaeris_radicata,NA,NA,NA
Prenanthes_ochroleuca,NA,NA,NA
Sonchus_asper,NA,NA,NA
Sonchus_oleraceus,NA,NA,NA
Lactuca_triangulata,NA,NA,NA
Lactuca_scariola,0.553213641463415,19.9445989039148,0.94975
Lactuca_indica,0.7362,NA,2.16666666666667
Lactuca_raddeana,NA,NA,NA
Hieracium_umbellatum,0.431561904785714,21.610070800374,0.47243333333
Scorzonera_albicaulis,NA,NA,NA
Ainsliaea_acerifolia,NA,NA,NA
Ainsliaea_apiculata,NA,NA,NA
Rhaponticum_uniflorum,NA,NA,NA
Saussurea_conandrifolia,NA,NA,NA
Saussurea_macrolepis,NA,NA,NA
Saussurea_tanakae,NA,NA,NA
Saussurea_seoulensis,NA,NA,NA
Saussurea_lyrata,NA,NA,NA
Saussurea_pulchella,NA,NA,NA
Saussurea_grandifolia,NA,NA,NA
Saussurea_gracilis,NA,NA,NA
Cirsium_pendulum,NA,NA,1.2
Breea_segetum,1.35152765957447,18.9325542653445,0.82937153611484
Cirsium_setidens,3.5008,NA,NA
Carduus_crispus,NA,NA,NA
Synurus_deltoides,4.0972,NA,1.2
Atractylodes_ovata,NA,NA,NA
Echinops_setifer,NA,NA,NA
Leibnitzia_anandria,NA,NA,NA
Adenocaulon_himalaicum,NA,NA,NA
Peracarpa_carnosa,NA,NA,NA
Campanula_punctata,NA,NA,NA
Asyneuma_japonicum,NA,NA,NA
Adenophora_polyantha,NA,NA,NA
Adenophora_stricta,NA,NA,NA
Adenophora_liliifolia,NA,NA,NA
Adenophora_divaricata,NA,NA,NA
Adenophora_verticillata,0.283,45.7643612100691,NA
Adenophora_remotiflora,NA,NA,NA
Adenophora_grandiflora,NA,NA,NA
Hanabusaya_asiatica,NA,NA,NA
Codonopsis_ussuriensis,NA,NA,NA
Codonopsis_lanceolata,NA,NA,NA
Platycodon_grandiflorus,0.918451666666667,19.82067103,0.0541538461538462
Lobelia_sessilifolia,NA,NA,NA
Sillaphyton_podagraria,NA,NA,NA
Cymopterus_melanotilingia,NA,NA,NA
Angelica_amurensis,NA,NA,NA
Angelica_reflexa,NA,NA,NA
Angelica_decursiva,NA,NA,NA
Glehnia_littoralis,NA,NA,NA
Angelica_gigas,3.2352,NA,NA
Angelica_cartilaginomarginata,NA,NA,NA
Angelica_polymorpha,NA,NA,NA
Angelica_dahurica,NA,NA,NA
Peucedanum_terebinthaceum,NA,36.50793861,NA
Ostericum_sieboldii,NA,NA,NA
Ostericum_grosseserratum,NA,NA,NA
Peucedanum_insolens,NA,NA,NA
Dystaenia_takesimana,NA,NA,NA
Heracleum_moellendorffii,NA,NA,NA
Pimpinella_koreana,NA,NA,NA
Pimpinella_komarovii,NA,NA,NA
Pimpinella_hallaisanensis,NA,NA,NA
Pimpinella_brachycarpa,3.912,NA,NA
Torilis_japonica,1.83193333333333,26.3566666666667,0.592433333333333
Osmorhiza_aristata,NA,NA,NA
Anthriscus_sylvestris,3.73948648648649,30.3499674763516,0.597451680672269
Cryptotaenia_japonica,NA,NA,NA
Sium_suave,NA,NA,NA
Oenanthe_javanica,NA,NA,NA
Bupleurum_longeradiatum,NA,NA,NA
Bupleurum_falcatum,2.8983458333125,22.3212141821296,0.527957746478873
Sanicula_tuberculata,NA,NA,NA
Sanicula_rubriflora,NA,NA,NA
Sanicula_chinensis,NA,54.34485647,0.5
Aralia_cordata,NA,NA,NA
Hydrocotyle_maritima,NA,NA,NA
Hydrocotyle_sibthorpioides,0.286,NA,NA
Hydrocotyle_ramiflora,NA,NA,NA
Valeriana_dageletiana,NA,NA,NA
Valeriana_fauriei,NA,NA,NA
Patrinia_scabiosifolia,0.8066,NA,NA
Patrinia_villosa,NA,NA,NA
Patrinia_saniculifolia,NA,NA,NA
Scabiosa_tschiliensis,NA,NA,NA
Pseudolysimachion_longifolium,NA,NA,NA
Pseudolysimachion_pyrethrinum,NA,NA,NA
Pseudolysimachion_dauricum,NA,NA,NA
Clinopodium_multicaule,NA,NA,NA
Clinopodium_gracile,NA,NA,NA
Mentha_canadensis,NA,NA,NA
Prunella_asiatica,0.788349387856702,26.6890422902645,0.132089621494505
Nepeta_cataria,0.533345,14.61810237,0.675916666666667
Agastache_rugosa,0.4274,NA,NA
Meehania_urticifolia,NA,NA,NA
Glechoma_grandis,NA,NA,NA
Lycopus_lucidus,NA,NA,NA
Salvia_chanryoenica,NA,NA,NA
Salvia_japonica,NA,NA,NA
Salvia_chanroenica,NA,NA,NA
Salvia_plebeia,NA,NA,NA
Isodon_inflexus,0.8,NA,1.5
Isodon_excisus,NA,NA,1.5
Isodon_japonicus,NA,NA,NA
Elsholtzia_ciliata,0.215,NA,0.375
Elsholtzia_splendens,0.3,NA,NA
Mosla_dianthera,0.2948,NA,NA
Mosla_punctulata,NA,NA,NA
Ajuga_spectabilis,NA,NA,NA
Ajuga_decumbens,NA,NA,NA
Lamium_amplexicaule,0.570768761111111,22.666,0.196428571428571
Leonurus_macranthus,NA,NA,NA
Leonurus_japonicus,0.934346666666667,NA,1
Phlomis_umbrosa,NA,NA,NA
Stachys_japonica,NA,NA,NA
Scutellaria_insignis,NA,NA,NA
Scutellaria_strigillosa,NA,NA,NA
Scutellaria_indica,0.14,NA,NA
Pedicularis_resupinata,NA,NA,NA
Phtheirospermum_japonicum,NA,NA,NA
Melampyrum_setaceum,NA,NA,NA
Melampyrum_roseum,NA,NA,0.2
Mazus_pumilus,NA,NA,NA
Strobilanthes_oliganthus,NA,NA,NA
Justicia_procumbens,NA,NA,NA
Tripora_divaricata,NA,NA,NA
Scrophularia_takesimensis,NA,NA,NA
Scrophularia_koraiensis,NA,NA,NA
Scrophularia_kakudensis,NA,NA,NA
Plantago_asiatica,0.605,NA,0.053494445
Trigonotis_icumae,NA,NA,NA
Trigonotis_peduncularis,NA,NA,NA
Brachybotrys_paridiformis,NA,NA,NA
Lithospermum_zollingeri,NA,NA,NA
Lithospermum_erythrorhizon,NA,NA,NA
Galium_maximowiczii,NA,NA,NA
Galium_koreanum,0.2368,NA,NA
Galium_spurium,2.11803555555556,NA,0.588888888888889
Galium_paradoxum,NA,NA,NA
Galium_kinuta,NA,NA,NA
Galium_trachyspermum,0.2368,NA,NA
Galium_dahuricum,NA,NA,NA
Galium_pogonanthum,0.2368,NA,NA
Galium_trifloriforme,NA,NA,NA
Galium_kamtschaticum,NA,NA,NA
Galium_trifidum,NA,NA,NA
Galium_odoratum,NA,NA,NA
Asperula_lasiantha,NA,NA,NA
Asperula_odorata,NA,NA,NA
Asperula_maximowiczii,NA,NA,NA
Rubia_hexaphylla,NA,NA,NA
Rubia_pubescens,NA,NA,NA
Rubia_chinensis,NA,NA,NA
Rubia_akane,NA,NA,NA
Rubia_cordifolia,4.1,NA,1.5
Rubia_argyi,NA,NA,NA
Mitchella_undulata,NA,NA,NA
Cynanchum_atratum,NA,NA,NA
Cynanchum_amplexicaule,NA,NA,NA
Cynanchum_ascyrifolium,NA,NA,NA
Cynanchum_paniculatum,NA,NA,NA
Metaplexis_japonica,NA,NA,2
Cynanchum_wilfordii,NA,NA,NA
Marsdenia_tomentosa,NA,NA,NA
Swertia_japonica,NA,NA,NA
Swertia_squarrosa,NA,NA,NA
Swertia_pseudochensis,0.04,NA,NA
Swertia_scabra,NA,NA,NA
Gentiana_zollingeri,NA,NA,NA
Gentiana_squarrosa,NA,NA,NA
Gentiana_triflora,NA,NA,NA
Gentiana_scabra,NA,NA,NA
Tripterospermum_japonicum,NA,NA,NA
Solanum_lyratum,0.94,NA,NA
Scopolia_japonica,NA,NA,NA
Calystegia_hederacea,NA,NA,NA
Cuscuta_australis,NA,NA,NA
Cuscuta_japonica,NA,NA,NA
Pyrola_japonica,0.0046622,NA,0.15
Chimaphila_japonica,NA,NA,NA
Monotropa_uniflora,NA,NA,NA
Primula_sieboldii,NA,NA,NA
Androsace_umbellata,NA,NA,NA
Lysimachia_barystachys,NA,NA,NA
Lysimachia_japonica,NA,NA,NA
Lysimachia_clethroides,0.30996,NA,0.4
Lysimachia_davurica,NA,NA,NA
Impatiens_textori,5.03,NA,NA
Impatiens_noli-tangere,NA,NA,NA
Impatiens_textorii,NA,NA,NA
Kirengeshoma_koreana,NA,NA,NA
Tetragonia_tetragonoides,NA,NA,NA
Lychnis_cognata,NA,NA,NA
Silene_firma,0.2512,NA,0.8
Pseudostellaria_davidii,NA,NA,NA
Silene_seoulensis,NA,NA,NA
Silene_baccifera,NA,NA,NA
Dianthus_chinensis,NA,NA,NA
Gypsophila_oldhamiana,NA,NA,NA
Arenaria_serpyllifolia,0.0712912195121951,21.4630419824555,0.143857142857143
Stellaria_aquatica,0.189685714285714,49.5,0.478125
Pseudostellaria_coreana,NA,NA,NA
Pseudostellaria_setulosa,NA,NA,NA
Pseudostellaria_palibiniana,NA,NA,NA
Pseudostellaria_monantha,NA,NA,NA
Pseudostellaria_heterophylla,NA,NA,NA
Chenopodium_album,0.697120179452055,27.4304966804232,0.471608843537415
Achyranthes_japonica,2.03,NA,NA
Rumex_acetosa,NA,NA,NA
Polygonum_viscosum,NA,NA,NA
Polygonum_muricatum,NA,NA,NA
Polygonum_viscoferum,NA,NA,NA
Polygonum_dissitiflorum,NA,NA,NA
Polygonum_pubescens,NA,NA,NA
Polygonum_perfoliatum,19.6417333333333,NA,NA
Polygonum_praetermissum,NA,NA,NA
Polygonum_japonicum,NA,NA,NA
Polygonum_posumbu,1.5,NA,NA
Polygonum_nepalense,NA,NA,NA
Polygonum_filiforme,2.08,NA,NA
Polygonum_lapathifolium,NA,NA,NA
Polygonum_thunbergii,7.2292,41.8410041841004,0.6
Polygonum_senticosum,NA,NA,NA
Polygonum_aviculare,1.64361750689655,22.5531145793896,0.438972602739726
Fallopia_ciliinervis,NA,NA,NA
Fallopia_japonica,NA,NA,NA
Fallopia_dentatoalata,NA,NA,NA
Fallopia_dumetorum,3.16802857142857,31.232,1.90454545454545
Persicaria_conspicua,NA,NA,NA
Persicaria_praetermissa,NA,NA,NA
Persicaria_muricata,NA,NA,NA
Persicaria_filiformis,2.08,NA,NA
Polygonum_longisetum,1.33,NA,NA
Persicaria_longiseta,1.33,NA,NA
Persicaria_posumbu,NA,NA,NA
Polygonum_hydropiper,1.9904,39.6998737373737,0.67680785923871
Persicaria_hydropiper,1.9904,39.6998737373737,0.67680785923871
Persicaria_maculosa,NA,NA,NA
Persicaria_lapathifolia,NA,NA,NA
Persicaria_viscosa,NA,NA,NA
Persicaria_hastatosagittata,NA,NA,NA
Persicaria_thunbergii,NA,NA,NA
Persicaria_dissitiflora,NA,NA,NA
Persicaria_senticosa,NA,NA,NA
Polygonum_sagittatum,3.17026280193237,NA,0.752047058823529
Persicaria_perfoliata,NA,NA,NA
Persicaria_nepalensis,NA,NA,NA
Vicia_anguste-pinnata,NA,NA,NA
Vicia_chosenensis,NA,NA,NA
Vicia_sativa,NA,NA,NA
Vicia_venosa,NA,NA,NA
Vicia_nipponica,NA,NA,NA
Vicia_unijuga,8.87,41.71979282,NA
Vicia_amoena,NA,NA,NA
Vicia_cracca,NA,NA,NA
Lathyrus_davidii,NA,NA,NA
Astragalus_membranaceus,NA,NA,NA
Glycine_soja,172.446128336105,32.8727239351636,0.22958
Dumasia_truncata,NA,NA,NA
Desmodium_oldhamii,NA,NA,NA
Desmodium_podocarpum,NA,NA,NA
Hylodesmum_podocarpum,NA,NA,NA
Hylodesmum_oldhamii,NA,NA,NA
Lespedeza_davurica,7.07,16.7186492836933,NA
Lespedeza_cuneata,1.6565,21.9766231594077,0.580535294117647
Lespedeza_pilosa,NA,NA,NA
Lespedeza_tomentosa,1.86,14.48474576,NA
Kummerowia_striata,1.99622299008032,34.77089699,0.18288
Rhynchosia_acuminatifolia,NA,NA,NA
Rhynchosia_volubilis,NA,NA,NA
Dunbaria_villosa,NA,NA,NA
Aeschynomene_indica,7.66409538461538,NA,1.4
Sophora_flavescens,35.04,16.41191648,5
Chamaecrista_nomame,NA,NA,NA
Polygala_tenuifolia,NA,NA,NA
Polygala_japonica,NA,NA,NA
Duchesnea_chrysantha,NA,NA,NA
Duchesnea_indica,NA,NA,NA
Potentilla_supina,NA,NA,NA
Potentilla_kleiniana,NA,NA,NA
Potentilla_dickinsii,NA,NA,NA
Potentilla_anserina,NA,NA,NA
Potentilla_chinensis,NA,16.40902266,NA
Potentilla_yokusaiana,NA,NA,NA
Potentilla_fragarioides,NA,NA,0.0492419192307692
Potentilla_discolor,NA,NA,NA
Potentilla_anemonifolia,0.1,NA,NA
Potentilla_cryptotaeniae,NA,NA,NA
Potentilla_squamosa,NA,NA,NA
Potentilla_freyniana,0.22,NA,NA
Potentilla_centigrana,NA,NA,NA
Sanguisorba_stipulata,NA,NA,NA
Sanguisorba_hakusanensis,1.3444,NA,NA
Sanguisorba_officinalis,2.26431699347059,21.5252975597421,0.459534013650794
Agrimonia_coreana,NA,NA,NA
Agrimonia_pilosa,15.3886,36.365281875,0.6
Geum_japonicum,2.4332,NA,NA
Geum_aleppicum,1.19082857142857,NA,0.4
Filipendula_glaberrima,NA,NA,NA
Fatoua_villosa,NA,NA,NA
Pilea_japonica,NA,NA,NA
Pilea_mongolica,2.4435,39.5256916996047,NA
Pilea_peploides,NA,NA,NA
Urtica_laetevirens,NA,NA,NA
Urtica_thunbergiana,NA,NA,NA
Urtica_angustifolia,NA,NA,NA
Nanocnide_japonica,NA,NA,NA
Boehmeria_pannosa,NA,NA,NA
Boehmeria_longispica,NA,NA,NA
Boehmeria_tricuspis,NA,NA,NA
Boehmeria_platanifolia,NA,NA,NA
Boehmeria_japonica,NA,NA,NA
Humulus_japonicus,16.1333333333333,NA,NA
Melothria_japonica,NA,NA,NA
Schizopepon_bryoniifolius,NA,NA,NA
Trichosanthes_kirilowii,NA,NA,NA
Gynostemma_pentaphyllum,NA,NA,NA
Actinostemma_lobatum,NA,NA,NA
Hypericum_laxum,NA,NA,NA
Hypericum_erectum,0.0564,NA,NA
Hypericum_ascyron,NA,NA,NA
Viola_boissieuana,NA,NA,NA
Viola_ovato-oblonga,NA,NA,NA
Viola_yedoensis,NA,NA,NA
Viola_acuminata,NA,45.209874755,NA
Viola_seoulensis,NA,NA,NA
Viola_verecunda,NA,NA,NA
Viola_kusanoana,NA,NA,NA
Viola_grypoceras,NA,NA,NA
Viola_collina,2.7752,NA,0.0862222222222222
Viola_orientalis,NA,NA,NA
Viola_rossii,NA,NA,NA
Viola_diamantiaca,NA,NA,NA
Viola_variegata,NA,34.98821839,NA
Viola_mandshurica,0.8088,NA,NA
Viola_lactiflora,NA,NA,NA
Viola_phalacrocarpa,NA,NA,NA
Viola_patrinii,NA,NA,NA
Viola_hirtipes,NA,NA,NA
Viola_selkirkii,0.61,NA,0.1
Viola_albida,NA,NA,NA
Viola_japonica,NA,NA,NA
Viola_keiskei,NA,NA,NA
Euphorbia_esula,NA,NA,NA
