species,seed_dry_mass_mg,SLA_mm2_mg.1,height_m
Hololeion_maximowiczii,-0.16266537106152001,-0.3327819214254876,-0.5557432757638119
Crepidiastrixeris_denticulatoplatyphylla,-0.16266537106152001,-0.3327819214254876,-0.5557432757638119
Eupatorium_tripartitum,-2.137047287519376,-2.806405276883894,1.3981189755832795
Eupatorium_japonicum,-2.137047287519376,-2.806405276883894,1.3981189755832795
Eupatorium_lindleyanum,-2.137047287519376,-2.806405276883894,1.3981189755832795
Eupatorium_rugosum,-2.482551418878986,-3.8566314458872077,1.3011029459168735
Ageratina_altissima,-0.8626342130558899,-2.740099196682137,2.5516623768379394
Tagetes_minuta,-0.29667651326528527,-3.1180635949632607,2.612431745782614
Sigesbeckia_glabrescens,0.05853233899744292,-3.286709621869543,2.402725025085682
Sigesbeckia_pubescens,-0.4173588835849951,-3.1363434200334352,2.366273049970105
Galinsoga_parviflora,-0.4173588835849951,-3.1363434200334352,2.366273049970105
Galinsoga_quadriradiata,-0.4173588835849951,-3.1363434200334352,2.366273049970105
Ambrosia_artemisiifolia,2.3102773503342413,-1.7011997093287137,0.10604849725139268
Ambrosia_trifida,1.4600659588148988,-0.35512135394203803,1.3727433779333225
Xanthium_strumarium,2.765507848912736,-1.442655039213389,0.7119535372520187
Xanthium_canadense,1.7941329720740458,-0.9231631299571184,0.7872730444464214
Bidens_pilosa,0.40427204107722614,1.7003021303429229,0.595068501257299
Bidens_bipinnata,0.5193792210264626,2.598272931823057,0.5851529071995133
Bidens_parviflora,0.4283726311324172,0.8131304177152564,0.6447826468043403
Bidens_tripartita,0.3875546939593874,1.0096645840940994,0.7312995507368285
Bidens_frondosa,0.5577739346685229,0.5546770771560869,0.5751522903718554
Coreopsis_alternifolia,0.41066600476682613,0.8392515856335967,0.6742506139371324
Centipeda_minima,-1.2444866590467647,0.4933340934808401,0.5376732642175415
Anaphalis_sinica,-1.9673241110965511,0.2080658824972477,0.37005910548523063
Pseudognaphalium_affine,-1.9673241110965511,0.2080658824972477,0.37005910548523063
Euchiton_japonicus,-2.764030539018962,0.1686497854992541,0.40703428726465546
Leontopodium_leontopodioides,-2.045814192618656,0.25101480583038455,0.4166387503062846
Carpesium_cernuum,-0.39664939233645174,0.17572955066284668,0.19032952280097182
Carpesium_triste,-0.9318149748240281,0.1953832433501447,0.25666008381266847
Carpesium_macrocephalum,-0.9318149748240281,0.1953832433501447,0.25666008381266847
Carpesium_divaricatum,-0.9936736805879899,0.2005428191722847,0.3080537311513932
Carpesium_abrotanoides,-0.8558794385648246,0.15810522723243822,0.19032952280097182
Erigeron_strigosus,-2.580625778875117,-1.2427058575278882,0.33838283551189396
Erigeron_annuus,-2.370011035162346,-0.02523735771859107,0.7123466069243143
Erigeron_philadelphicus,-2.1536236428178586,0.2803127144104557,0.9949325855893388
Conyza_canadensis,-2.120405696603834,-0.6482727403315286,0.26224099587166044
Conyza_bonariensis,-1.7812900513654555,-2.725232797899543,0.015299735738513471
Conyza_sumatrensis,-1.596073380562845,-1.2831160502713388,0.7866424469712887
Aster_meyendorffii,-1.1451922700379291,-1.7992612504194048,1.4991616489310344
Aster_yomena,-1.1451922700379291,-1.9089539477890405,1.5294122115748356
Aster_pilosus,-1.1451922700379291,-1.83582548287595,1.4991616489310344
Aster_scaber,-1.307580356547247,0.5713503116419357,1.4650221163641022
Aster_subulatus,-1.5018000931420195,-3.0850729340125165,0.9547829856083144
Aster_koraiensis,1.0768947734872394,-7.650940849519748,6.351774490282802
Aster_pseudoglehnii,-0.2168247030580178,-3.5003879530261033,3.1699242873356672
Aster_ageratoides,-0.2168247030580178,-3.5003879530261033,3.1699242873356672
Aster_spathulifolius,-1.687540195495698,-0.32148539648934105,0.681914535886031
Aster_tataricus,-1.687540195495698,-0.32148539648934105,0.681914535886031
Rhynchospermum_verticillatum,-0.011412072153569706,-0.32670847906876804,0.6166787389085113
Artemisia_japonica,-2.108644401564509,-1.0978412217438833,1.8435951564959772
Artemisia_keiskeana,-2.1382011998852515,-0.976115210155535,1.54250486366345
Artemisia_capillaris,-2.1717588741082836,-1.0984193430502684,1.4721858573293618
Artemisia_annua,-2.495292602073611,0.5916225380953581,1.1562344037202317
Artemisia_lancea,-2.1082296290145193,-2.1364599246363207,1.3113627675577975
Artemisia_selengensis,-2.1082296290145193,-2.1364599246363207,1.3113627675577975
Artemisia_codonocephala,-2.1082296290145193,-2.1364599246363207,1.3113627675577975
Artemisia_feddei,-2.1082296290145193,-2.1364599246363207,1.3113627675577975
Artemisia_princeps,-2.0028335966152695,-1.9714542443570506,1.0415077010308444
