species,seed_dry_mass_mg,SLA_mm2_mg.1,height_m
Hololeion maximowiczii,1.0218274796171467,24.651478958920794,0.3045498936302256
Crepidiastrixeris denticulatoplatyphylla,1.0218274796171467,24.651478958920794,0.3045498936302256
Eupatorium tripartitum,0.057567936908156495,12.417408135474943,1.1156548378976878
Eupatorium japonicum,0.057567936908156495,12.417408135474943,1.1156548378976878
Eupatorium lindleyanum,0.057567936908156495,12.417408135474943,1.1156548378976878
Eupatorium rugosum,0.034800000000000005,9.28087485552745,1.046
Ageratina altissima,0.36855758284285983,12.647767690342755,2.4012349671755864
Tagetes minuta,0.8405980082381652,11.389609516129884,2.5001858154986643
Sigesbeckia glabrescens,1.41036,10.869377865375013,2.1749653821684447
Sigesbeckia pubescens,0.7050700812884817,11.3320383165326,2.122914757094416
Galinsoga parviflora,0.7050700812884817,11.3320383165326,2.122914757094416
Galinsoga quadriradiata,0.7050700812884817,11.3320383165326,2.122914757094416
Ambrosia artemisiifolia,37.4986206896552,16.8691128156632,0.472766909978102
Ambrosia trifida,10.866362500000001,24.4992857142857,1.097
Xanthium strumarium,72.78483333333331,18.122568203643304,0.707142857142857
Xanthium canadense,17.678658815719892,20.92974806665788,0.7434364633211021
Bidens pilosa,2.333890360096837,43.31279893595657,0.6542970012675702
Bidens bipinnata,2.76,55.55555555555559,0.65
Bidens parviflora,2.4172911405292647,33.86921732573167,0.6762730725364592
Bidens tripartita,2.27773575027871,35.76571428571431,0.716292307692308
Bidens frondosa,2.91878108943503,31.5274362494835,0.645694736842105
Coreopsis alternifolia,2.355732256926652,34.115364851424566,0.6896462051995276
Centipeda minima,0.2113032854715314,30.995829564926375,0.629812177517019
Anaphalis sinica,0.07371654801229882,28.639035102855964,0.5634284122343932
Pseudognaphalium affine,0.07371654801229882,28.639035102855964,0.5634284122343932
Euchiton japonicus,0.023093333333333296,28.327802021215767,0.5774435442658217
Leontopodium leontopodioides,0.06575126273792527,28.982057905778817,0.5811407282495274
Carpesium cernuum,0.726666666666667,28.383454220175647,0.5
Carpesium triste,0.3332226326255263,28.53852050905493,0.5225315941620675
Carpesium macrocephalum,0.3332226326255263,28.53852050905493,0.5225315941620675
Carpesium divaricatum,0.30450632404888045,28.579369414927545,0.5406851139719792
Carpesium abrotanoides,0.37220235400595136,28.24511620611936,0.5
Erigeron strigosus,0.0301666666666667,19.155462219772495,0.551692635658915
Erigeron annuus,0.040999999999999995,26.845396634615298,0.707327586206897
Erigeron philadelphicus,0.05619436392914649,29.218407596786,0.85344
Conyza canadensis,0.058980689655172405,22.5870464384101,0.524473039215686
Conyza bonariensis,0.09666500000000001,12.699999999999998,0.4451
Conyza sumatrensis,0.12660660301316973,18.94207049230673,0.743125
Aster meyendorffii,0.2441912426780551,16.416709675046256,1.1931363679412577
Aster yomena,0.2441912426780551,15.92500800679118,1.2173632608988372
Aster pilosus,0.2441912426780551,16.25114499044575,1.1931363679412577
Aster scaber,0.19274658513520482,31.673498145000007,1.166373505448512
Aster subulatus,0.145245714285714,11.494252873563202,0.830971428571429
Aster koraiensis,6.218,3.2417,29.999999999999996
Aster pseudoglehnii,0.9443018017244886,10.24421942299867,3.621269570545101
Aster ageratoides,0.9443018017244886,10.24421942299867,3.621269570545101
Aster spathulifolius,0.11081155492069314,24.728799055812818,0.6931673637884983
Aster tataricus,0.11081155492069314,24.728799055812818,0.6931673637884983
Rhynchospermum verticillatum,1.2737258398596387,24.69301909313296,0.6637606432632058
Artemisia japonica,0.06,19.940388799418034,1.5
Artemisia keiskeana,0.057471241927992786,20.624756601933967,1.2280007769366594
Artemisia capillaris,0.0547291305273902,19.937193275,1.171939124124562
Artemisia annua,0.034159999999999996,31.851999999999997,0.95
Artemisia lancea,0.06003626668862904,14.951648010361941,1.0531557409252574
Artemisia selengensis,0.06003626668862904,14.951648010361941,1.0531557409252574
Artemisia codonocephala,0.06003626668862904,14.951648010361941,1.0531557409252574
Artemisia feddei,0.06003626668862904,14.951648010361941,1.0531557409252574
Artemisia princeps,0.07000000000000002,15.651462773981494,0.880266666666667
Artemisia indica,0.07468259239481366,15.718560436150577,0.9598792777587276
Artemisia sylvatica,0.07468259239481366,15.718560436150577,0.9598792777587276
Artemisia montana,0.07235664989071318,15.684975726056733,0.9598792777587276
Artemisia stolonifera,0.07235664989071318,15.684975726056733,0.9598792777587276
Chrysanthemum zawadzkii,0.3551667469698598,14.673842343372833,1.61751837477057
Chrysanthemum indicum,0.36,10.892173098602159,3.091566554353301
Chrysanthemum oreastrum,0.15615012684614787,20.76982001518505,0.8432152779899014
Achillea alpina,2.316388869007155,35.15025652512655,0.685887036754389
Senecio vulgaris,0.16203339575799608,29.922272092901885,0.575711911803488
Erechtites hieraciifolius,0.332,29.845876804157527,0.575474681490972
Crassocephalum crepidioides,0.16203339575799608,29.736578278574996,0.5736164407802447
Syneilesis palmata,1.0890477597601733,30.817177054266942,0.6561639316393817
Farfugium japonicum,1.0890477597601733,30.817177054266942,0.6561639316393817
Parasenecio koraiensis,2.586620615854057,33.55150065904825,0.6884253460656097
Parasenecio auriculatus,2.586620615854057,33.55150065904825,0.6884253460656097
Parasenecio firmus,2.586620615854057,33.55150065904825,0.6884253460656097
Parasenecio adenostyloides,1.0841267426538055,30.809328522347318,0.6561639316393817
Ligularia jamesii,1.0454819801611797,30.749450525966942,0.6521396092711573
Ligularia jaluensis,1.0454819801611797,30.749450525966942,0.6521396092711573
Ligularia fischeri,4.590800000000001,31.110640961909734,0.6975954538085642
Petasites japonicus,0.049999999999999996,28.7023535805359,0.6
Youngia japonica,0.0764,27.466188647272876,0.8132945317782075
Crepidiastrum chelidoniifolium,0.1828754754195766,28.091343020314962,0.7950287160315263
Crepidiastrum sonchifolium,0.1828754754195766,28.091343020314962,0.7950287160315263
Crepidiastrum denticulatum,0.1932,33.125220860000006,1
Ixeridium dentatum,0.09280000000000001,27.605516408049645,0.8132945317782075
