family,species,category,invasiveness,growth_type,topography
Caryophyllaceae,Pseudostellaria heterophylla,native,N,herbaceous,upper_slope
Osmundaceae,Osmunda japonica,native,N,herbaceous,upper_slope
Asteraceae,Artemisia princeps,native,N,herbaceous,upper_slope
Cyperaceae,Carex bostrychostigma,native,N,herbaceous,upper_slope
Rubiaceae,Rubia akane,native,N,herbaceous,upper_slope
Asteraceae,Erigeron annuus,exotic,N,herbaceous,upper_slope
Violaceae,Viola mandshurica,native,N,herbaceous,upper_slope
Rubiaceae,Galium spurium var. echospermum,exotic,N,herbaceous,upper_slope
Caryophyllaceae,Stellaria media,exotic,N,herbaceous,upper_slope
Brassicaceae,Capsella bursa-pastoris,native,N,herbaceous,upper_slope
Lamiaceae,Lamium amplexicaule,native,N,herbaceous,upper_slope
Cannabaceae,Humulus japonicus,native,N,herbaceous,upper_slope
Rosaceae,Potentilla fragarioides,native,N,herbaceous,upper_slope
Asteraceae,Ixeridium dentatum,native,N,herbaceous,upper_slope
Papaveraceae,Chelidonium majus var. asiaticum,native,N,herbaceous,upper_slope
Athyriaceae,Athyrium niponicum,native,N,herbaceous,upper_slope
Athyriaceae,Athyrium yokoscense,native,N,herbaceous,upper_slope
Asteraceae,Artemisia japonica,native,N,herbaceous,upper_slope
Poaceae,Oplismenus undulatifolius,native,N,herbaceous,upper_slope
Violaceae,Viola verecunda,native,N,herbaceous,upper_slope
Brassicaceae,Cardamine flexuosa,native,N,herbaceous,upper_slope
Violaceae,Viola seoulensis,native,N,herbaceous,upper_slope
Caryophyllaceae,Stellaria aquatica,native,N,herbaceous,upper_slope
Dryopteridaceae,Dryopteris chinensis,native,N,herbaceous,upper_slope
Phytolaccaceae,Phytolacca americana,exotic,N,herbaceous,upper_slope
Chenopodiaceae,Chenopodium album,exotic,N,herbaceous,upper_slope
Polygonaceae,Polygonum senticosum,native,N,herbaceous,upper_slope
Chenopodiaceae,Chenopodium ficifolium,exotic,N,herbaceous,upper_slope
Liliaceae,Polygonatum odoratum var. pluriflorum,native,N,herbaceous,lower_slope
Commelinaceae,Commelina communis,native,N,herbaceous,lower_slope
Polygonaceae,Polygonum hydropiper,native,N,herbaceous,lower_slope
Apocynaceae,Metaplexis japonica,native,N,herbaceous,lower_slope
Oxalidaceae,Oxalis corniculata,exotic,N,herbaceous,lower_slope
Polygonaceae,Rumex acetosella,exotic,Y,herbaceous,lower_slope
Scrophulariaceae,Veronica arvensis,exotic,N,herbaceous,lower_slope
Asteraceae,Artemisia princeps,native,N,herbaceous,lower_slope
Equisetaceae,Equisetum arvense,native,N,herbaceous,lower_slope
Asteraceae,Erigeron philadelphicus,exotic,N,herbaceous,upper_slope
Asteraceae,Lactuca scariola,exotic,Y,herbaceous,upper_slope
Asteraceae,Conyza canadensis,exotic,N,herbaceous,upper_slope
Asteraceae,Aster subulatus,exotic,N,herbaceous,upper_slope
Phytolaccaceae,Phytolacca americana,exotic,N,herbaceous,ridge_summit
Asteraceae,Artemisia princeps,native,N,herbaceous,ridge_summit
Cyperaceae,Carex humilis var. nana,native,N,herbaceous,ridge_summit
